City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Lompoc,US,76.01,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Longyearbyen,SJ,35.44,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
Los Llanos de Aridane,ES,64.15,overcast clouds,28.6585,-17.9182,Valle Aridane
Los Reyes Acaquilpan,MX,76.75,broken clouds,19.35,-98.9667,Hotel Cabaña Real
Luga,RU,55.2,broken clouds,58.7372,29.8453,U Lysoy Gory Hotel
Lukovetskiy,RU,35.58,clear sky,64.2956,41.9211,Gostinitsa
Lys'va,RU,55.31,broken clouds,58.1086,57.8053,Center Hotel
Lyuban',BY,54.34,clear sky,52.7985,28.0048,
Mackay,AU,66.04,overcast clouds,-21.15,149.2,International Lodge Motel
Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
Mahébourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Makushino,RU,54.36,clear sky,55.2103,67.2442,Cristina Hotel
Malartic,CA,73.22,light rain,48.1335,-78.1328,Camping Regional De Malartic
Mana,GF,76.14,overcast clouds,5.6592,-53.7767,LE SAMANA
Mandalgovi,MN,44.74,clear sky,45.7625,106.2708,В.Ганбат
Mandurah,AU,48.97,few clouds,-32.55,115.7,Atrium Hotel Mandurah
Mankono,CI,76.48,light rain,8.0586,-6.1897,Hotel Cajoux
Mapiri,BO,67.86,broken clouds,-15.25,-68.1667,
Mar del Plata,AR,54.12,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
Maragogi,BR,75.79,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
Marang,MY,78.19,overcast clouds,5.2056,103.2059,DBarakah Homestay
Mareeba,AU,68.72,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
Marília,BR,67.17,scattered clouds,-22.2139,-49.9458,Hotel Tenda
Marsá Maţrūḩ,EG,69.6,clear sky,31.3525,27.2453,Beau Site
Marsabit,KE,63.36,few clouds,2.3284,37.9899,Chicho Hotel
Marsh Harbour,BS,79.52,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
Matara,LK,78.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
Mataura,NZ,49.48,broken clouds,-46.1927,168.8643,Ellie's Villa
Merauke,ID,76.5,overcast clouds,-8.4667,140.3333,
Meulaboh,ID,74.19,moderate rain,4.1363,96.1285,Kost Pria
Mingoyo,TZ,65.71,clear sky,-10.1,39.6333,CHIMBENDE LODGE
Mingyue,CN,59.61,few clouds,43.1069,128.9217,安图土地大厦
Marabu,MY,73.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
Mitú,CO,73.83,overcast clouds,1.1983,-70.1733,
Mizque,BO,59.07,scattered clouds,-17.941,-65.3402,Hotel Mizque Boutique
Moose Factory,CA,73.4,broken clouds,51.2585,-80.6094,Moosonee Lilypad
Morón,AR,53.02,light rain,-34.6534,-58.6198,Hotel Morón
Mount Isa,AU,60.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
Muisne,EC,76.57,overcast clouds,0.6,-80.0333,Quinta Samay
Mutoko,ZW,46.17,broken clouds,-17.397,32.2268,Mutoko Hotel
Mwanza,TZ,68.63,scattered clouds,-2.5167,32.9,Gold Crest Hotel
Mwinilunga,ZM,54.88,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
Nabire,ID,78.01,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
Nakhon Phanom,TH,74.71,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
Mossamedes,AO,74.14,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Namie,JP,70.97,overcast clouds,37.4833,141.0,いこいの村なみえ
Nanlong,CN,76.87,light rain,31.3533,106.0631,Demei Hotel
Nanortalik,GL,44.28,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
Narsaq,GL,46.04,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
Naze,JP,74.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
Necochea,AR,47.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
New Norfolk,AU,56.91,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
Newport,GB,59.11,clear sky,51.5877,-2.9984,ibis budget Newport
Nezhinskiy,RU,50.09,light rain,43.9283,42.6856,Гостевой Дом «Rest-Exclusive»
Nhamundá,BR,79.99,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
Níjar,ES,65.84,clear sky,36.9665,-2.206,La Casa del Cine
Nikolskoye,RU,60.69,broken clouds,59.7035,30.7861,Tourist House - Sablino
Nishihara,JP,75.25,light rain,26.1842,127.7558,Minshuku Agaihama
Nizhnevartovsk,RU,37.42,clear sky,60.9344,76.5531,Gostinichnyy Kompleks Samotlor
Nokaneng,BW,49.19,clear sky,-19.6667,22.2667,
Nome,US,37.17,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
Norman Wells,CA,51.84,light rain,65.282,-126.8329,Heritage Hotel
Norsup,VU,78.3,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
Northam,GB,56.3,few clouds,51.0333,-4.2167,Durrant House Hotel
Novikovo,RU,53.51,few clouds,51.1537,37.8879,
Nyakahanga,TZ,59.23,broken clouds,-1.6033,31.1414,Tindamanyire Guest House
Nyurba,RU,50.67,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
Oga,IT,51.69,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
Okha,RU,37.33,overcast clouds,53.5739,142.9478,Империя
Oktyabr'skoye,RU,55.54,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
Omboué,GA,75.94,overcast clouds,-1.5746,9.2618,Hotel Olako
Ossora,RU,40.46,overcast clouds,59.2353,163.0719,
Östersund,SE,55.62,light rain,63.1792,14.6357,Best Western Hotel Gamla Teatern
Ostrovnoy,RU,37.96,clear sky,68.0531,39.5131,
Ous,RU,47.5,broken clouds,60.9058,61.5186,
Ovalle,CL,62.29,broken clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
Oyama,JP,73.81,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
Paamiut,GL,38.16,light rain,61.994,-49.6678,Hotel Ivaana
Padang,ID,75.6,broken clouds,-0.9492,100.3543,Mercure Padang
Palana,RU,44.17,overcast clouds,59.1167,159.9667,
Pangkalanbuun,ID,73.96,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
Pangnirtung,CA,32.49,scattered clouds,66.1451,-65.7125,Kilabuk Lodge
Penalva,BR,79.36,broken clouds,-3.2942,-45.1736,Hotel São José
Penzance,GB,54.61,scattered clouds,50.1186,-5.5371,Artist Residence Penzance
Perbaungan,ID,77.11,broken clouds,3.5679,98.956,Bendang Lama
Petukhovo,RU,54.81,clear sky,55.0692,67.9019,Гостиница
Pevek,RU,48.31,scattered clouds,69.7008,170.3133,Hotel ABC
Pimentel,PE,70.09,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
Pińczów,PL,60.94,broken clouds,50.5205,20.5265,Hotel Nad Starą Nidą
Pingzhuang,CN,67.3,light rain,42.0372,119.2889,Haoke Guest House
Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
Pitsunda,GE,55.58,broken clouds,43.1592,40.3378,Hotel FREEDOM
Plácido de Castro,BR,79.59,overcast clouds,-10.3353,-67.1856,Hotel Carioca
Plast,RU,54.07,scattered clouds,54.3691,60.8136,S
Ponta do Sol,PT,66.83,clear sky,32.6667,-17.1,Hotel do Campo
Port Alfred,ZA,64.06,clear sky,-33.5906,26.891,The Halyards Hotel
Port Augusta,AU,56.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
Port Elizabeth,ZA,62.28,clear sky,-33.918,25.5701,39 On Nile Guest House
Port Hardy,CA,55.58,broken clouds,50.6996,-127.4199,Airport Inn
Port Lincoln,AU,60.82,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
Port Macquarie,AU,54.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
Port Moresby,PG,76.75,overcast clouds,-9.4431,147.1797,Lamana Hotel
Port-Cartier,CA,54.03,broken clouds,50.0334,-66.8654,Le Q'Artier
Portland,US,65.14,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
Porto-Novo,BJ,79.36,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
Porto Santo,PT,66.11,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
Praia da Vitória,PT,66.45,few clouds,38.7333,-27.0667,Hotel Branco I
Praia,CV,73.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
Prince Rupert,CA,51.89,light rain,54.3161,-130.3201,Crest Hotel
Provideniya,RU,44.71,broken clouds,64.3833,-173.3,
Puerto Baquerizo Moreno,EC,73.8,broken clouds,-0.9,-89.6,Hotel los Algarrobos
Port Montt,CL,49.03,overcast clouds,-41.4698,-72.9447,Gran Hotel Vicente Costanera
Pullman,US,61.41,overcast clouds,46.7313,-117.1796,"Holiday Inn Express & Suites Pullman, an IHG Hotel"
Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
Qaanaaq,GL,40.37,broken clouds,77.484,-69.3632,Qaanaaq Hotel
Qaqortoq,GL,41.27,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
Qasigiannguit,GL,37.65,broken clouds,68.8193,-51.1922,Hotel Diskobay
Qax,AZ,54.59,overcast clouds,41.4225,46.9242,El Resort Hotel
Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
Quelimane,MZ,64.35,few clouds,-17.8786,36.8883,Hotel Flamingo
Raudeberg,NO,52.47,clear sky,61.9875,5.1352,Nordre Silda.
Rawson,AR,49.62,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
Reinosa,ES,50.86,overcast clouds,42.9996,-4.138,Hotel Vejo
Ribeira Grande,PT,65.16,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
Richards Bay,ZA,58.06,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Rikitea,PF,76.77,overcast clouds,-23.1203,-134.9692,Pension Maro'i
Rio Claro,BR,65.8,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
Río Gallegos,AR,39.25,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
Roebourne,AU,74.41,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
Arrondissement de Saint-Denis,FR,64.15,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
Sainte-Marie,RE,73.56,light rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
Salekhard,RU,34.95,clear sky,66.53,66.6019,Hotel 89
Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
Sampit,ID,74.48,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
Bariloche,AR,40.75,light rain,-41.1456,-71.3082,Hotel Patagonia
San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
San Isidro,PE,66.02,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
San Jerónimo,PE,52.18,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
San Juan,AR,66.72,clear sky,-31.5375,-68.5364,Hotel Provincial
San Lorenzo,PY,67.14,overcast clouds,-25.3333,-57.5333,Hotel del Sur
San Policarpo,PH,79.14,overcast clouds,12.1791,125.5072,JM Lodge
San Quintín,MX,65.57,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
San Vicente,AR,58.26,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
Santa Barbara,US,70.23,clear sky,34.7333,-120.0343,Upper Ballard Campground
Santarém,BR,78.93,clear sky,-2.4431,-54.7083,Ecotur Lodge
São João,BR,64.33,few clouds,-8.8756,-36.3667,Chácara Mãe Natureza
São João da Barra,BR,74.34,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
Saryg-Sep,RU,40.19,overcast clouds,51.5,95.6,
Saskylakh,RU,39.24,broken clouds,71.9167,114.0833,
Sechura,PE,72.81,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
Serebryansk,KZ,42.35,clear sky,49.6925,83.2892,"Gostinitsa ""Vodoley"""
Severo-Kuril'sk,RU,43.0,overcast clouds,50.6789,156.125,Kak Doma
Severo-Yeniseyskiy,RU,39.87,light rain,60.3725,93.0408,Aktolik
Shache,CN,75.52,scattered clouds,38.4167,77.2406,Delong Hotel
Shelbyville,US,74.52,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
Shetpe,KZ,67.23,few clouds,44.1667,52.1167,Rtsm Shetpe Analog
Shīeli,KZ,74.77,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
Shimoda,JP,73.17,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
Shingū,JP,70.79,moderate rain,33.7333,135.9833,Shingu UI Hotel
Shizunai-furukawachō,JP,58.5,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
Shunyi,CN,75.83,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
Sierpc,PL,55.83,overcast clouds,52.8568,19.6691,"Bar ""MaxiM"" - Restauracja, Catering, Sale Bankietowe, Hotel"
Sinnamary,GF,76.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Siocon,PH,79.9,overcast clouds,7.7061,122.1353,ABS Hotel
Sisimiut,GL,42.8,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
Sitka,US,51.03,light rain,57.0531,-135.33,Westmark Sitka
Sobolevo,RU,54.46,broken clouds,54.4299,31.8996,
Soledade,BR,52.75,overcast clouds,-28.8183,-52.5103,Pousada Da Gringa
Solnechnyy,RU,55.81,broken clouds,50.7214,136.6319,Hotel complex Pastoral
Soltvadkert,HU,60.82,clear sky,46.5789,19.3939,Frittmann Borászat és Panzió
Sorata,BO,43.0,broken clouds,-15.7667,-68.6333,El Encanto Sorata
Sørland,NO,52.21,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
Sorong,ID,79.21,overcast clouds,-0.8833,131.25,waigo splash hotel
Sosnovo-Ozerskoye,RU,48.9,overcast clouds,52.5249,111.5418,
Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
Soyo,AO,75.51,scattered clouds,-6.1349,12.3689,Hotel Mpampa
Springbok,ZA,56.75,clear sky,-29.6643,17.8865,Undulata Country Lodge
Srednekolymsk,RU,44.58,overcast clouds,67.45,153.6833,
Forsytheganj,BY,54.91,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
Swift Current,CA,62.94,broken clouds,50.2834,-107.8014,"Motel 6 Swift Current, SK"
Tabou,CI,78.53,overcast clouds,4.423,-7.3528,hotêl doufoulougou
Tabuk,PH,75.79,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
Tacna,PE,56.3,broken clouds,-18.0056,-70.2483,Hotel Colón Inn
Tadine,NC,72.77,overcast clouds,-21.55,167.8833,
Takoradze,GH,79.43,clear sky,4.8845,-1.7554,Raybow International Hotel
Talnakh,RU,31.59,light snow,69.4865,88.3972,Talnakh Hotel
Tasiilaq,GL,39.29,overcast clouds,65.6145,-37.6368,The Red House
Tawang Town,IN,54.23,overcast clouds,27.5833,91.8667,Hotel Mount View
Tazmalt,DZ,65.41,few clouds,36.3868,4.3989,Hôtel Numédia
Tazovsky,RU,32.09,overcast clouds,67.4667,78.7,TazHostel
Te Anau,NZ,42.51,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
Teguise,ES,64.62,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
Tevriz,RU,52.5,scattered clouds,57.509,72.4042,Postoyalyy Dvor
Teya,RU,43.45,light rain,60.3778,92.6267,
Thompson,CA,60.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
Tieli,CN,60.64,clear sky,46.95,128.05,Dynasty Hotel
Tieling,CN,71.92,clear sky,42.2931,123.8414,Tieling 99 Yuejia Business Guest House
Tigil',RU,55.31,overcast clouds,57.8,158.6667,Tigil'
Tiksi,RU,43.83,overcast clouds,71.6872,128.8694,Arktika
Tilichiki,RU,37.87,light rain,60.4667,166.1,
Torbay,CA,45.28,broken clouds,47.6666,-52.7314,Gallows Cove
Torzhok,RU,56.3,broken clouds,57.0436,34.9622,Hotel Torzhok
Trairi,BR,77.27,few clouds,-3.2778,-39.2689,janelas do mar
Trat,TH,75.9,heavy intensity rain,12.5,102.5,สวนหนิง-อัศ
Trelew,AR,48.88,broken clouds,-43.249,-65.3051,Hotel Touring Club
Trindade,BR,74.32,overcast clouds,-16.6494,-49.4889,Pousada Central
Tsaratanana,MG,66.6,broken clouds,-16.7833,47.65,
Tuatapere,NZ,49.82,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
San Miguel de Tucumán,AR,59.0,overcast clouds,-26.8241,-65.2226,HOTEL MIAMI
Tuktoyaktuk,CA,35.6,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
Tulun,RU,48.0,broken clouds,54.5611,100.5792,Квартира
Turukhansk,RU,33.85,broken clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
Ucluelet,CA,53.04,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
Ulladulla,AU,59.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
Ulu-Telyak,RU,50.79,clear sky,54.9086,56.9669,
Umba,RU,41.41,clear sky,66.6871,34.3429,Cedar Grass Beloye More
Upernavik,GL,37.78,broken clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
Ushuaia,AR,44.26,scattered clouds,-54.8,-68.3,Albatros Hotel
Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
Van,TR,49.35,clear sky,38.4924,43.3831,Elite World Van Hotel
Vanimo,PG,78.62,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
Vao,NC,70.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
Vardø,NO,39.15,clear sky,70.3705,31.1107,Vardø Hotel AS
Verkhnyaya Inta,RU,37.2,overcast clouds,65.9811,60.3094,
Verkhnyaya Maksakovka,RU,57.22,broken clouds,61.635,50.9674,Baza Otdyha Maybyr
Verkhoyansk,RU,54.46,overcast clouds,67.5447,133.385,
Vestmanna,FO,47.32,drizzle,62.1564,-7.1664,Budget Guesthouse Borgustova
Vestmannaeyjar,IS,47.98,overcast clouds,63.4427,-20.2734,Glamping & Camping
Viedma,AR,49.87,overcast clouds,-40.8135,-62.9967,Hotel Cristal
Vikeså,NO,54.0,overcast clouds,58.6376,6.0913,Bjerkreim Camping Gjedrem
Vikulovo,RU,53.71,scattered clouds,56.8167,70.6107,"Ooo ""Sistema Stroy"""
Vila,PT,55.33,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
Vila Franca do Campo,PT,64.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
Vostok,RU,60.08,broken clouds,46.4856,135.8833,
Waingapu,ID,77.5,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
Waipawa,NZ,53.46,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
Wakkanai,JP,52.68,overcast clouds,45.4094,141.6739,Hyōsetsu-sō
Watsa,CD,61.2,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
Whitehaven,GB,56.17,broken clouds,54.549,-3.5841,Premier Inn Whitehaven hotel
Whitehorse,CA,55.02,moderate rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
Władysławowo,PL,57.94,few clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
Wukari,NG,73.0,moderate rain,7.85,9.7833,Elimtop
Xiaoweizhai,CN,67.8,scattered clouds,26.1903,107.5125,Karst Youth Hostel
Oddur,SO,73.0,scattered clouds,4.1213,43.8894,Banjanay Hotel
Yellowknife,CA,50.56,broken clouds,62.456,-114.3525,The Explorer Hotel
Yeniseysk,RU,54.39,overcast clouds,58.4497,92.1703,"""Domino"""
Yeppoon,AU,58.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
Yerbogachën,RU,42.98,clear sky,61.2767,108.0108,
Yulara,AU,39.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Yumen,CN,58.68,broken clouds,40.2833,97.2,
Yurimaguas,PE,75.61,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
Zabul Province,AF,71.55,clear sky,32.25,67.25,
Zelenoborsk,RU,44.55,overcast clouds,61.4669,64.0333,
Zheleznodorozhnyy,RU,61.32,overcast clouds,55.7503,38.0042,Hotel Dali
Zhigansk,RU,52.45,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
Zlobin,HR,58.3,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
Zyryanka,RU,46.0,overcast clouds,65.75,150.85,
