City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saskylakh,98,RU,2020-02-16 18:45:21,94,71.92,114.08,2.39,10.89
1,Puerto Carreno,40,CO,2020-02-16 18:48:23,34,6.19,-67.49,96.8,11.41
2,Tiksi,100,RU,2020-02-16 18:48:23,92,71.69,128.87,-2.97,5.26
3,Sangar,100,RU,2020-02-16 18:48:23,94,63.92,127.47,-15.39,8.66
4,Faanui,99,PF,2020-02-16 18:48:23,75,-16.48,-151.75,82.22,16.42
5,Bredasdorp,43,ZA,2020-02-16 18:48:23,56,-34.53,20.04,73.4,20.8
6,Fortuna,90,US,2020-02-16 18:48:24,93,40.6,-124.16,52.0,5.82
7,Ugep,25,NG,2020-02-16 18:48:24,17,5.81,8.08,90.88,4.85
8,Lagoa,100,PT,2020-02-16 18:44:07,65,39.05,-27.98,55.02,19.98
9,Punta Arenas,20,CL,2020-02-16 18:48:24,50,-53.15,-70.92,53.6,25.28
10,Yellowknife,5,CA,2020-02-16 18:46:19,66,62.46,-114.35,-27.0,10.29
11,Pangnirtung,90,CA,2020-02-16 18:48:25,67,66.15,-65.71,-25.6,3.06
12,Cabo San Lucas,90,MX,2020-02-16 18:43:35,49,22.89,-109.91,80.01,4.7
13,Qaanaaq,45,GL,2020-02-16 18:44:49,46,77.48,-69.36,0.41,8.1
14,Kapaa,90,US,2020-02-16 18:48:25,83,22.08,-159.32,72.0,12.75
15,Grindavik,75,IS,2020-02-16 18:48:25,93,63.84,-22.43,37.4,16.11
16,Cape Town,40,ZA,2020-02-16 18:48:03,82,-33.93,18.42,70.0,9.17
17,Sitka,75,US,2020-02-16 18:48:26,87,57.05,-135.33,33.8,3.36
18,Ushuaia,20,AR,2020-02-16 18:48:26,61,-54.8,-68.3,50.0,28.86
19,Kamiiso,100,JP,2020-02-16 18:48:26,94,41.82,140.65,23.11,11.59
20,Henties Bay,89,NA,2020-02-16 18:48:26,90,-22.12,14.28,66.99,3.0
21,Mataura,69,NZ,2020-02-16 18:48:26,96,-46.19,168.86,56.98,2.57
22,Busselton,0,AU,2020-02-16 18:48:27,52,-33.65,115.33,57.99,14.34
23,Korla,100,CN,2020-02-16 18:44:01,84,41.76,86.15,34.0,3.85
24,Sibu,75,MY,2020-02-16 18:48:27,94,2.3,111.82,78.8,2.24
25,Osoyoos,75,CA,2020-02-16 18:48:27,74,49.03,-119.45,35.6,2.8
26,Dikson,100,RU,2020-02-16 18:48:27,93,73.51,80.55,14.14,16.51
27,Ponta Do Sol,40,PT,2020-02-16 18:48:27,77,32.67,-17.1,64.4,8.05
28,Albany,90,US,2020-02-16 18:46:45,55,42.6,-73.97,39.0,5.57
29,Nikolskoye,75,RU,2020-02-16 18:48:28,80,59.7,30.79,37.4,13.42
30,Ancud,40,CL,2020-02-16 18:48:28,63,-41.87,-73.82,60.8,6.93
31,Bilma,18,NE,2020-02-16 18:48:28,14,18.69,12.92,73.22,8.79
32,Luau,24,AO,2020-02-16 18:48:28,91,-10.71,22.22,68.25,1.79
33,Chokurdakh,100,RU,2020-02-16 18:48:29,97,70.63,147.92,-7.89,10.85
34,Hilo,90,US,2020-02-16 18:48:29,77,19.73,-155.09,69.8,6.93
35,Alice Springs,75,AU,2020-02-16 18:43:32,26,-23.7,133.88,80.6,5.82
36,Bolanos De Calatrava,0,ES,2020-02-16 18:46:04,67,38.91,-3.66,59.0,5.99
37,Mahebourg,40,MU,2020-02-16 18:48:29,69,-20.41,57.7,78.8,8.05
38,Hobart,90,AU,2020-02-16 18:46:32,71,-42.88,147.33,50.0,10.29
39,Coihaique,75,CL,2020-02-16 18:48:30,50,-45.58,-72.07,57.2,10.29
40,Rikitea,100,PF,2020-02-16 18:48:30,76,-23.12,-134.97,79.5,21.21
41,Omboue,100,GA,2020-02-16 18:48:30,91,-1.57,9.26,77.94,3.22
42,Provideniya,100,RU,2020-02-16 18:48:30,95,64.38,-173.3,-5.37,14.7
43,Sakakah,20,SA,2020-02-16 18:48:31,72,29.97,40.21,62.6,4.7
44,Bunia,7,CD,2020-02-16 18:48:26,45,1.57,30.25,80.85,5.03
45,Victoria,40,HK,2020-02-16 18:48:31,62,22.29,114.16,53.6,10.29
46,Baturite,80,BR,2020-02-16 18:47:44,77,-4.33,-38.88,81.05,5.75
47,Oriximina,78,BR,2020-02-16 18:48:32,65,-1.77,-55.87,86.61,4.99
48,Thompson,75,CA,2020-02-16 18:48:32,62,55.74,-97.86,-14.8,4.7
49,Hangu,14,CN,2020-02-16 18:48:32,57,39.25,117.79,23.0,13.42
50,Tuktoyaktuk,5,CA,2020-02-16 18:48:32,65,69.45,-133.04,-38.2,9.17
51,Georgetown,20,MY,2020-02-16 18:46:15,88,5.41,100.34,82.4,2.24
52,Astana,90,KZ,2020-02-16 18:43:39,92,51.18,71.45,17.6,24.61
53,Yuryevets,100,RU,2020-02-16 18:48:33,94,57.32,43.1,28.85,15.03
54,Pevek,100,RU,2020-02-16 18:48:33,99,69.7,170.31,-27.42,2.8
55,Maceio,40,BR,2020-02-16 18:47:30,55,-9.67,-35.74,87.8,12.75
56,Sayyan,0,YE,2020-02-16 18:48:33,30,15.17,44.32,55.6,1.45
57,Ambanja,100,MG,2020-02-16 18:48:33,88,-13.68,48.45,80.01,7.23
58,Victor Harbor,23,AU,2020-02-16 18:48:33,76,-35.57,138.62,57.99,5.82
59,Atuona,15,PF,2020-02-16 18:48:34,77,-9.8,-139.03,81.23,18.3
60,Kaitangata,2,NZ,2020-02-16 18:48:34,70,-46.28,169.85,68.0,3.13
61,Danielskuil,92,ZA,2020-02-16 18:48:34,27,-28.19,23.54,80.82,8.48
62,Hermanus,0,ZA,2020-02-16 18:45:01,77,-34.42,19.23,68.0,1.99
63,Ko Samui,56,TH,2020-02-16 18:46:00,77,9.54,99.94,81.45,10.25
64,Vaini,75,TO,2020-02-16 18:48:35,88,-21.2,-175.2,75.2,6.93
65,Port Lincoln,0,AU,2020-02-16 18:48:35,80,-34.73,135.87,63.93,6.93
66,Aksarka,99,RU,2020-02-16 18:48:35,96,66.56,67.8,9.16,8.99
67,Namatanai,5,PG,2020-02-16 18:48:35,78,-3.67,152.43,82.74,13.09
68,Avarua,94,CK,2020-02-16 18:48:35,83,-21.21,-159.78,80.6,6.93
69,Agropoli,0,IT,2020-02-16 18:48:36,63,40.35,15.0,52.0,3.0
70,Carnarvon,0,AU,2020-02-16 18:48:36,78,-24.87,113.63,73.4,17.22
71,Geraldton,75,AU,2020-02-16 18:48:36,77,-28.77,114.6,68.0,17.22
72,Vinh Yen,70,VN,2020-02-16 18:48:36,55,21.31,105.6,60.8,4.7
73,Jamestown,90,US,2020-02-16 18:48:37,69,42.1,-79.24,39.0,11.41
74,Hemnesberget,20,NO,2020-02-16 18:48:37,100,66.23,13.63,33.8,1.12
75,Ribeira Grande,40,PT,2020-02-16 18:48:37,62,38.52,-28.7,55.4,12.75
76,New Norfolk,90,AU,2020-02-16 18:48:37,71,-42.78,147.06,50.0,10.29
77,Flinders,90,AU,2020-02-16 18:48:37,100,-34.58,150.86,69.01,6.93
78,Laguna,1,US,2020-02-16 18:48:38,54,38.42,-121.42,62.01,4.7
79,Jizan,20,SA,2020-02-16 18:48:38,78,17.33,42.67,80.6,6.93
80,Gobabis,100,NA,2020-02-16 18:48:38,41,-22.45,18.97,80.71,8.57
81,Butaritari,80,KI,2020-02-16 18:48:38,79,3.07,172.79,82.87,23.24
82,Barillas,0,GT,2020-02-16 18:48:38,45,15.8,-91.32,70.3,8.05
83,Tasiilaq,75,GL,2020-02-16 18:48:38,50,65.61,-37.64,28.4,3.53
84,Ukiah,1,US,2020-02-16 18:48:39,66,39.15,-123.21,59.0,4.7
85,Maraa,59,BR,2020-02-16 18:48:39,85,-1.83,-65.37,84.33,0.85
86,Belaya,46,UA,2020-02-16 18:48:39,75,49.03,25.77,39.99,3.0
87,Hami,67,CN,2020-02-16 18:45:04,44,42.8,93.45,20.43,2.82
88,Olinda,20,BR,2020-02-16 18:48:39,62,-8.01,-34.86,87.8,12.75
89,Lebu,1,CL,2020-02-16 18:44:51,53,-37.62,-73.65,70.77,9.19
90,Anadyr,100,RU,2020-02-16 18:44:15,70,64.75,177.48,-4.0,17.9
91,Barrow,1,US,2020-02-16 18:48:40,80,71.29,-156.79,-41.8,4.7
92,Kushima,76,JP,2020-02-16 18:48:41,86,31.46,131.23,42.01,15.01
93,Timizart,0,DZ,2020-02-16 18:48:41,77,36.8,4.27,61.74,8.05
94,Berdigestyakh,98,RU,2020-02-16 18:48:41,94,62.1,126.7,7.34,6.2
95,Kavalerovo,100,RU,2020-02-16 18:48:41,94,44.27,135.06,9.1,4.56
96,Tromso,40,NO,2020-02-16 18:48:41,81,69.65,18.96,32.0,51.67
97,The Valley,40,AI,2020-02-16 18:48:42,65,18.22,-63.06,82.4,18.34
98,Villarrubia De Los Ojos,0,ES,2020-02-16 18:48:42,67,39.22,-3.61,59.0,5.99
99,Nanortalik,76,GL,2020-02-16 18:48:42,66,60.14,-45.24,24.66,32.53
100,Mareeba,40,AU,2020-02-16 18:48:42,83,-17.0,145.43,78.8,2.24
101,Bethel,90,US,2020-02-16 18:48:42,51,41.37,-73.41,44.01,8.05
102,Puerto Escondido,5,MX,2020-02-16 18:43:50,69,15.85,-97.07,82.4,6.87
103,Elhovo,5,BG,2020-02-16 18:48:43,80,42.17,26.57,39.2,4.7
104,Makat,57,KZ,2020-02-16 18:48:43,71,47.65,53.35,27.95,0.81
105,Cabedelo,20,BR,2020-02-16 18:44:34,58,-6.98,-34.83,87.8,13.87
106,Parrita,20,CR,2020-02-16 18:48:43,57,9.52,-84.32,82.4,23.04
107,Taoudenni,83,ML,2020-02-16 18:48:43,7,22.68,-3.98,84.09,8.14
108,Otane,58,NZ,2020-02-16 18:48:44,84,-39.88,176.63,58.17,1.83
109,Port Alfred,84,ZA,2020-02-16 18:48:44,71,-33.59,26.89,79.61,5.7
110,Tautira,20,PF,2020-02-16 18:48:44,70,-17.73,-149.15,84.2,5.82
111,Bagdarin,0,RU,2020-02-16 18:48:44,87,54.43,113.6,6.55,4.88
112,Dingle,1,PH,2020-02-16 18:48:44,89,11.0,122.67,73.18,9.15
113,Yulara,0,AU,2020-02-16 18:48:44,22,-25.24,130.99,80.6,4.7
114,Marrakesh,3,MA,2020-02-16 18:48:45,21,31.63,-8.01,77.0,4.7
115,Faya,3,SA,2020-02-16 18:48:45,37,18.39,42.45,62.6,8.05
116,Baykit,90,RU,2020-02-16 18:48:45,95,61.67,96.37,3.72,2.35
117,Esperance,75,AU,2020-02-16 18:45:01,87,-33.87,121.9,60.8,5.82
118,Fuyang,0,CN,2020-02-16 18:48:45,60,32.9,115.82,32.11,2.64
119,Mar Del Plata,40,AR,2020-02-16 18:45:22,52,-38.0,-57.56,87.8,5.82
120,Bengkulu,100,ID,2020-02-16 18:48:46,94,-3.8,102.27,72.14,4.36
121,Yar-Sale,98,RU,2020-02-16 18:48:46,95,66.83,70.83,7.45,9.53
122,Castro,72,BR,2020-02-16 18:48:46,44,-24.79,-50.01,87.03,1.68
123,Arman,0,RU,2020-02-16 18:48:46,85,59.7,150.17,2.16,5.91
124,Safita,51,SY,2020-02-16 18:48:47,62,34.82,36.12,51.8,9.17
125,Hasaki,75,JP,2020-02-16 18:48:47,100,35.73,140.83,51.8,3.36
126,Bluff,88,NZ,2020-02-16 18:48:47,76,-46.6,168.33,62.26,3.8
127,Pisco,20,PE,2020-02-16 18:45:14,30,-13.7,-76.22,75.99,12.75
128,Hithadhoo,0,MV,2020-02-16 18:45:50,77,-0.6,73.08,83.16,10.13
129,Teeli,33,RU,2020-02-16 18:48:47,58,51.03,90.23,-1.17,0.83
130,Yumen,9,CN,2020-02-16 18:48:48,29,40.28,97.2,17.74,3.83
131,Sakyla,90,FI,2020-02-16 18:48:48,87,61.03,22.33,46.4,25.28
132,Saint-Philippe,100,RE,2020-02-16 18:45:22,65,-21.36,55.77,78.8,23.04
133,Saint-Augustin,100,CA,2020-02-16 18:48:48,79,51.23,-58.65,21.49,25.5
134,Kangaatsiaq,100,GL,2020-02-16 18:48:48,90,68.31,-53.46,8.65,12.95
135,Shimoda,100,JP,2020-02-16 18:48:48,85,34.67,138.95,60.01,1.99
136,Sabha,0,LY,2020-02-16 18:48:49,29,27.04,14.43,59.32,7.09
137,Gigmoto,4,PH,2020-02-16 18:48:49,82,13.78,124.39,79.32,12.33
138,Mpigi,13,UG,2020-02-16 18:48:49,65,0.23,32.31,77.5,6.82
139,Ostrovnoy,100,RU,2020-02-16 18:48:49,84,68.05,39.51,30.99,25.97
140,Chuy,5,UY,2020-02-16 18:48:49,44,-33.7,-53.46,91.04,5.08
141,Nome,90,US,2020-02-16 18:44:18,77,64.5,-165.41,6.8,14.99
142,Poum,33,NC,2020-02-16 18:45:25,74,-20.23,164.02,80.94,20.51
143,Ozernovskiy,100,RU,2020-02-16 18:48:50,86,51.5,156.52,22.96,15.28
144,Montecristi,75,EC,2020-02-16 18:48:50,78,-1.05,-80.67,82.4,11.41
145,Puerto Ayora,20,EC,2020-02-16 18:48:50,66,-0.74,-90.35,86.0,13.87
146,Sakaiminato,75,JP,2020-02-16 18:48:50,80,35.55,133.23,41.0,18.34
147,Talnakh,40,RU,2020-02-16 18:48:51,85,69.49,88.4,10.4,15.66
148,Airai,69,TL,2020-02-16 18:48:51,94,-8.93,125.41,67.64,1.52
149,Monastyrshchina,100,RU,2020-02-16 18:48:51,81,54.35,31.84,33.37,18.95
150,Kenai,1,US,2020-02-16 18:48:51,83,60.55,-151.26,6.01,3.36
151,Khatanga,99,RU,2020-02-16 18:48:52,95,71.97,102.5,0.93,10.13
152,Vorotynsk,40,RU,2020-02-16 18:48:52,80,54.43,36.05,35.6,13.42
153,San Patricio,20,MX,2020-02-16 18:48:52,70,19.22,-104.7,86.0,9.17
154,Portland,75,US,2020-02-16 18:44:48,100,45.52,-122.68,46.99,4.7
155,Cartagena,20,CO,2020-02-16 18:48:52,55,10.4,-75.51,91.4,22.7
156,Hamilton,90,US,2020-02-16 18:45:26,52,39.18,-84.53,46.99,4.9
157,Padang,100,ID,2020-02-16 18:45:02,85,-0.95,100.35,68.4,3.56
158,Yerbogachen,91,RU,2020-02-16 18:48:53,94,61.28,108.01,4.14,8.21
159,Kaeo,15,NZ,2020-02-16 18:48:53,100,-35.1,173.78,66.99,7.76
160,Klaksvik,99,FO,2020-02-16 18:44:53,93,62.23,-6.59,37.4,10.29
161,Cody,1,US,2020-02-16 18:48:54,50,44.53,-109.06,39.0,8.05
162,Shiyan,12,CN,2020-02-16 18:48:54,29,32.65,110.78,35.1,3.8
163,Kalmunai,13,LK,2020-02-16 18:48:54,71,7.42,81.82,81.34,12.55
164,Coahuayana,75,MX,2020-02-16 18:48:54,51,18.73,-103.68,84.2,4.76
165,Myanaung,0,MM,2020-02-16 18:48:54,61,18.28,95.32,66.47,2.84
166,Port Blair,64,IN,2020-02-16 18:48:55,63,11.67,92.75,78.87,11.21
167,Kenora,20,CA,2020-02-16 18:47:50,53,49.82,-94.43,-2.0,9.17
168,Lethem,0,GY,2020-02-16 18:48:55,25,3.38,-59.8,100.0,12.35
169,Bocaiuva,40,BR,2020-02-16 18:48:55,43,-17.11,-43.81,89.6,8.05
170,Sayan,29,PE,2020-02-16 18:48:56,82,-11.14,-77.19,59.77,9.28
171,Coquimbo,40,CL,2020-02-16 18:48:56,68,-29.95,-71.34,68.0,12.75
172,Hovd,0,MN,2020-02-16 18:48:56,79,48.01,91.64,0.48,1.41
173,Iqaluit,75,CA,2020-02-16 18:48:57,61,63.75,-68.51,-20.0,5.82
174,Half Moon Bay,75,US,2020-02-16 18:48:57,87,37.46,-122.43,60.01,13.87
175,Nabire,91,ID,2020-02-16 18:48:57,98,-3.37,135.48,73.8,0.76
176,Los Llanos De Aridane,40,ES,2020-02-16 18:48:57,72,28.66,-17.92,68.0,11.41
177,Berlevag,75,NO,2020-02-16 18:48:57,85,70.86,29.09,24.8,6.93
178,Tessalit,100,ML,2020-02-16 18:48:57,8,20.2,1.01,79.23,9.91
179,Mecca,14,SA,2020-02-16 18:48:58,58,21.43,39.83,76.23,9.53
180,Urucui,78,BR,2020-02-16 18:48:58,73,-7.23,-44.56,83.44,5.37
181,Tual,6,ID,2020-02-16 18:48:58,80,-5.67,132.75,83.23,12.86
182,Asau,25,RO,2020-02-16 18:48:58,79,46.43,26.4,37.4,14.99
183,Luanda,75,AO,2020-02-16 18:48:58,78,-8.84,13.23,82.4,4.7
184,Lorengau,73,PG,2020-02-16 18:48:59,77,-2.02,147.27,83.44,11.39
185,Kant,0,IN,2020-02-16 18:48:59,73,27.8,79.8,59.86,3.89
186,Pangody,99,RU,2020-02-16 18:48:59,98,65.85,74.49,3.43,8.93
187,Volkhovskiy,100,RU,2020-02-16 18:48:59,76,58.58,31.32,36.81,18.23
188,Corinto,20,GR,2020-02-16 18:48:31,53,37.94,22.96,55.0,11.41
189,Margate,20,GB,2020-02-16 18:49:00,87,51.38,1.39,48.2,18.34
190,Constitucion,0,CL,2020-02-16 18:49:00,57,-35.33,-72.42,66.54,8.63
191,Ulaangom,47,MN,2020-02-16 18:49:00,99,49.98,92.07,-15.54,1.23
192,Galegos,90,PT,2020-02-16 18:49:01,93,41.56,-8.57,59.0,20.8
193,Kodinsk,50,RU,2020-02-16 18:49:01,97,58.69,99.18,6.46,3.33
194,Marzuq,0,YE,2020-02-16 18:49:01,70,14.4,46.47,65.32,4.43
195,Guerrero Negro,100,MX,2020-02-16 18:49:01,49,27.98,-114.06,68.27,11.99
196,Altoona,90,US,2020-02-16 18:48:20,56,40.52,-78.39,46.0,11.41
197,Ketchikan,90,US,2020-02-16 18:49:02,93,55.34,-131.65,37.4,4.7
198,Bandarbeyla,14,SO,2020-02-16 18:49:02,73,9.49,50.81,76.32,15.7
199,Leningradskiy,98,RU,2020-02-16 18:49:02,96,69.38,178.42,-22.38,8.32
200,Norman Wells,5,CA,2020-02-16 18:45:05,64,65.28,-126.83,-41.8,2.46
201,Acapulco,5,MX,2020-02-16 18:49:03,55,16.86,-99.89,87.8,5.82
202,Tiznit,0,MA,2020-02-16 18:49:03,24,29.58,-9.5,70.7,7.92
203,Adrar,93,MR,2020-02-16 18:49:03,9,20.5,-10.07,83.79,7.76
204,Namibe,56,AO,2020-02-16 18:49:03,75,-15.2,12.15,75.13,5.01
205,Caucaia,75,BR,2020-02-16 18:49:03,74,-3.74,-38.65,82.4,10.29
206,Komsomolskiy,100,UZ,2020-02-16 18:49:03,35,40.43,71.72,39.2,9.17
207,Skibbereen,75,IE,2020-02-16 18:49:04,59,51.55,-9.27,39.2,25.28
208,Nazare Da Mata,20,BR,2020-02-16 18:47:57,62,-7.74,-35.23,87.8,12.75
209,Torbay,90,CA,2020-02-16 18:49:04,68,47.67,-52.73,32.0,29.97
210,Tigre,40,AR,2020-02-16 18:49:04,62,-34.43,-58.58,96.01,10.29
211,Wasco,1,US,2020-02-16 18:48:56,54,35.59,-119.34,64.0,3.04
212,Sao Jose Da Coroa Grande,35,BR,2020-02-16 18:49:05,68,-8.9,-35.15,82.94,9.42
213,Saint-Joseph,99,RE,2020-02-16 18:47:51,65,-21.37,55.62,78.8,23.04
214,Axim,49,GH,2020-02-16 18:49:05,70,4.87,-2.24,83.3,9.17
215,Severo-Kurilsk,63,RU,2020-02-16 18:49:05,93,50.68,156.12,18.72,11.3
216,Baruun-Urt,0,MN,2020-02-16 18:49:06,80,46.68,113.28,4.78,8.57
217,Bogande,0,BF,2020-02-16 18:49:06,5,12.97,-0.14,84.79,9.13
218,Loandjili,75,CG,2020-02-16 18:49:06,83,-4.76,11.86,82.4,10.29
219,Auki,100,SB,2020-02-16 18:49:06,82,-8.77,160.7,82.54,29.26
220,Chapais,40,CA,2020-02-16 18:49:06,61,49.78,-74.85,12.2,13.87
221,Maragogi,35,BR,2020-02-16 18:49:07,68,-9.01,-35.22,82.94,9.42
222,Panzhihua,12,CN,2020-02-16 18:49:07,82,26.59,101.71,42.53,1.03
223,San Angelo,1,US,2020-02-16 18:46:03,43,31.46,-100.44,73.99,10.29
224,Chapadinha,5,BR,2020-02-16 18:49:07,70,-3.74,-43.36,85.87,5.26
225,Bonavista,74,CA,2020-02-16 18:44:46,79,48.65,-53.11,30.0,23.0
226,Binzhou,0,CN,2020-02-16 18:49:08,50,37.37,118.02,30.0,3.0
227,Bambous Virieux,40,MU,2020-02-16 18:49:08,69,-20.34,57.76,78.8,8.05
228,Port Elizabeth,89,ZA,2020-02-16 18:45:04,65,-33.92,25.57,78.8,27.51
229,Naze,75,JP,2020-02-16 18:49:08,67,28.37,129.48,57.2,24.16
230,Egvekinot,100,RU,2020-02-16 18:49:08,91,66.32,-179.17,-17.59,17.2
231,Jamiltepec,0,MX,2020-02-16 18:49:09,27,16.28,-97.82,94.28,5.39
232,Machico,40,PT,2020-02-16 18:49:09,77,32.7,-16.77,64.4,8.05
233,Rocha,0,UY,2020-02-16 18:49:09,24,-34.48,-54.33,97.05,7.54
234,Vicar,90,ES,2020-02-16 18:49:09,82,36.83,-2.64,59.0,9.17
235,Novyy Urgal,0,RU,2020-02-16 18:49:09,97,51.07,132.56,-15.25,0.56
236,Mosquera,75,CO,2020-02-16 18:49:09,40,4.71,-74.23,69.8,11.41
237,Stephenville,1,US,2020-02-16 18:49:10,40,32.22,-98.2,75.2,8.05
238,Saint-Paul,100,RE,2020-02-16 18:49:10,73,-21.01,55.27,78.8,19.46
239,Lavrentiya,100,RU,2020-02-16 18:49:10,86,65.58,-171.0,-3.44,13.13
240,Zyryanka,0,RU,2020-02-16 18:49:10,85,65.75,150.85,-20.13,8.86
241,Rzhev,100,RU,2020-02-16 18:44:29,80,56.26,34.33,32.34,16.4
242,Manicore,65,BR,2020-02-16 18:49:11,43,-5.81,-61.3,95.61,4.25
243,Kingman,1,US,2020-02-16 18:44:58,25,35.19,-114.05,68.0,4.7
244,Dabakala,0,CI,2020-02-16 18:49:11,8,8.37,-4.43,88.65,2.13
245,Brekstad,40,NO,2020-02-16 18:49:11,80,63.69,9.67,39.99,11.41
246,Rawson,48,AR,2020-02-16 18:49:11,49,-43.3,-65.1,66.52,10.76
247,Broome,90,US,2020-02-16 18:49:12,69,42.25,-75.83,41.0,8.05
248,Luderitz,58,NA,2020-02-16 18:49:12,94,-26.65,15.16,64.38,5.19
249,Toamasina,75,MG,2020-02-16 18:49:12,94,-18.17,49.38,78.8,3.36
250,Inhambane,20,MZ,2020-02-16 18:49:12,78,-23.86,35.38,82.4,4.7
251,Labuan,75,MY,2020-02-16 18:49:12,78,5.28,115.24,80.6,5.82
252,Tabas,0,IR,2020-02-16 18:47:07,24,33.6,56.92,46.4,4.7
253,Lata,75,PT,2020-02-16 18:49:13,72,40.16,-8.33,61.0,10.29
254,Chernyshevskiy,89,RU,2020-02-16 18:49:13,96,63.01,112.47,6.33,5.03
255,Sobolevo,100,RU,2020-02-16 18:49:13,81,54.43,31.9,33.37,18.95
256,Matay,0,EG,2020-02-16 18:49:14,66,28.42,30.78,57.11,7.02
257,Narsaq,97,GL,2020-02-16 18:44:54,67,60.92,-46.05,21.2,13.87
258,Novikovo,99,RU,2020-02-16 18:49:14,95,51.15,37.89,29.25,9.44
259,Deputatskiy,99,RU,2020-02-16 18:49:14,93,69.3,139.9,-5.01,3.76
260,Leh,0,IN,2020-02-16 18:45:29,57,34.17,77.58,0.7,7.54
261,Northam,20,GB,2020-02-16 18:49:15,70,51.03,-4.22,46.99,16.11
262,Chicama,40,PE,2020-02-16 18:49:15,83,-7.84,-79.15,75.2,9.17
263,Coolum Beach,33,AU,2020-02-16 18:49:15,93,-26.53,153.1,75.0,4.29
264,Erzin,43,TR,2020-02-16 18:49:15,70,36.96,36.2,48.2,9.17
265,Kachiry,99,KZ,2020-02-16 18:49:15,92,53.07,76.1,25.05,13.8
266,Huanren,82,CN,2020-02-16 18:49:15,96,41.26,125.37,-4.2,4.88
267,Nuuk,75,GL,2020-02-16 18:49:16,61,64.18,-51.72,17.6,2.06
268,Arraial Do Cabo,82,BR,2020-02-16 18:49:16,74,-22.97,-42.03,87.8,13.87
269,East London,71,ZA,2020-02-16 18:44:58,66,-33.02,27.91,86.0,5.82
270,Rio Gallegos,40,AR,2020-02-16 18:49:17,28,-51.62,-69.22,59.0,29.97
271,Santa Cruz,75,BO,2020-02-16 18:48:07,70,-17.8,-63.17,87.8,18.34
272,Aranda,30,PH,2020-02-16 18:49:17,90,10.24,122.95,69.82,1.79
273,Codrington,0,AU,2020-02-16 18:49:17,85,-38.27,141.97,62.22,15.39
274,Avera,90,US,2020-02-16 18:49:18,93,33.19,-82.53,46.4,5.82
275,Banda Aceh,85,ID,2020-02-16 18:49:18,94,5.56,95.32,73.11,3.69
276,Abilene,1,US,2020-02-16 18:49:18,30,32.45,-99.73,73.0,12.75
277,Fairbanks,20,US,2020-02-16 18:49:18,58,64.84,-147.72,-29.99,2.73
278,Bako,21,ET,2020-02-16 18:47:29,59,5.78,36.57,72.52,5.84
279,Swift Current,1,CA,2020-02-16 18:49:19,79,50.28,-107.8,21.2,6.93
